44127,Talitha,* iot UMa
27628,Wazn,* bet Col
83081,,* zet Ara
73334,,* kap Cen
45860,,* alf Lyn
46701,,* N Vel
84380,,* pi. Her
83895,Aldhibah,* zet Dra
92041,,* phi Sgr
46853,,* tet UMa
31685,,* nu. Pup
23767,,* eta Aur
71908,,* alf Cir
87261,,* G Sco
83000,,* kap Oph
23685,,* eps Lep
22449,Tabit,* pi.03 Ori
104732,,* zet Cyg
116727,Errai,* gam Cep
75141,,* del Lup
89962,,* eta Ser
106032,Alfirk,* bet Cep
79882,Yed Posterior,* eps Oph
99473,,* tet Aql
32607,,* alf Pic
93194,Sulafat,* gam Lyr
36377,Hadir,* sig Pup
68895,,* pi. Hya
73714,Brachium,* sig Lib
17678,,* gam Hyi
3092,,* del And
84970,,* tet Oph
113136,Skat,* del Aqr
24305,,* mu. Lep
75458,Edasich,* iot Dra
50099,,* ome Car
51576,,* p Car
21281,,* alf Dor
29655,Propus,* eta Gem
59774,Megrez,* del UMa
88048,,* nu. Oph
14354,Gorgonea Tertia,* rho Per
5165,,* bet Phe
84143,,* eta Sco
93864,,* tau Sgr
54879,Chertan,* tet Leo
19780,,* alf Ret
38170,Azmidiske,* ksi Pup
41704,Muscida,* omi UMa
8886,Segin,* eps Cas
25281,,* eta Ori
32362,,* ksi Gem
95501,,* del Aql
75264,,* eps Lup
43109,,* eps Hya
66249,Heze,* zet Vir
26207,Meissa,* lam Ori
109492,,* zet Cep
50371,,* q Car
63090,Minelauva,* del Vir
20894,,* tet02 Tau
112029,Homam,*  42 Peg
74395,,* zet Lup
18724,,* lam Tau
67464,,* nu. Cen
102422,,* eta Cep
6867,,* gam Phe
8796,Mothallah,* alf Tri
78384,,* eta Lup
102395,,* bet Pav
86974,,* mu.01 Her
93805,,* lam Aql
50335,Adhafera,* zet Leo
50372,Tania Borealis,* lam UMa
38827,,* chi Car
5364,,* eta Cet
74666,,* del Boo
12706,Kaffaljidhma,* gam Cet
49583,,* eta Leo
81833,,* eta Her
73555,Nekkar,* bet Boo
90422,,* alf Tel
55219,Alula Borealis,* nu. UMa
8102,,* tau Cet
33856,,* sig CMa
112623,,* eps Gru
112724,,* iot Cep
32759,,* kap CMa
35550,Wasat,* del Gem
98337,,* gam Sge
112748,Sadalbari,* mu. Peg
48774,,* phi Vel
93085,,* ksi02 Sgr
47508,Subra,* omi Leo
92420,Sheliak,* bet Lyr
109427,Biham,* tet Peg
17378,Rana,* del Eri
40526,Altarf,* bet Cnc
20889,Ain,* eps Tau
77516,,* mu. Ser
86263,,* ksi Ser
56343,,* ksi Hya
99240,,* del Pav
89937,,* chi Dra
69996,,* iot Lup
20042,,* ups04 Eri
27288,,* zet Lep
1562,,* iot Cet
55282,,* del Crt
10602,,* phi Eri
44471,,* kap UMa
71053,,* rho Boo
75177,,* phi01 Lup
37740,,* kap Gem
35350,,* lam Gem
100064,Algedi,* alf02 Cap
60260,,* eps Cru
7607,,* ups Per
24674,,* tau Ori
57757,Zavijava,* bet Vir
27072,,* gam Lep
46651,,* psi Vel
6537,,* tet Cet
33018,,* tet Gem
85727,,* del Ara
42536,,* omi Vel
76470,,* ups Lib
63613,,* del Mus
13209,,*  41 Ari
86929,,* eta Pav
49841,,* lam Hya
15900,,* omi Tau
37819,,* c Pup
82729,,* zet02 Sco
7097,Alpherg,* eta Psc
113726,,* omi And
57363,,* lam Mus
101769,Rotanev,* bet Del
46733,,* h UMa
77233,Chow,* bet Ser
20205,Prima Hyadum,* gam Tau
88714,,* tet Ara
110960,,* zet Aqr
75695,Nusakan,* bet CrB
76600,,* tau Lib
68756,Thuban,* alf Dra
103227,,* bet Ind
97365,,* del Sge
22549,,* pi.04 Ori
114341,,* c02 Aqr
42828,,* alf Pyx
47854,,* l Car
106985,Nashira,* gam Cap
2920,,* zet Cas
9007,,* chi Eri
23453,,* zet Aur
57399,Taiyangshou,* chi UMa
87933,,* ksi Her
114971,,* gam Psc
15474,,* tau04 Eri
38414,,* a Pup
98036,Alshain,* bet Aql
88771,,*  72 Oph
22797,,* pi.05 Ori
77622,,* eps Ser
28103,,* eta Lep
104060,,* ksi Cyg
16537,Ran,* eps Eri
28358,,* del Aur
107089,,* nu. Oct
112961,,* lam Aqr
72220,,* 109 Vir
87585,Grumium,* ksi Dra
104887,,* tau Cyg
8645,Baten Kaitos,* zet Cet
80170,,* gam Her
44511,,* c Vel
87108,,* gam Oph
26069,,* bet Dor
27654,,* del Lep
95853,,* iot Cyg
111169,,* alf Lac
30867,,* bet Mon
93683,,* omi Sgr
42570,,* b Vel
105881,,* zet Cap
101958,Sualocin,* alf Del
41312,,* bet Vol
20455,Secunda Hyadum,* del Tau
82363,,* eta Ara
109176,,* iot Peg
17529,,* nu. Per
13268,Miram,* eta Per
48319,,* ups UMa
36046,,* iot Gem
34481,,* gam02 Vol
53253,,* u Car
102618,Albali,* eps Aqr
71795,,* zet Boo
14668,Misam,* kap Per
53229,Praecipua,*  46 LMi
14879,,* alf For
99675,,*  31 Cyg
76276,,* del Ser
37229,Markeb,CD-26  4707
94779,,* kap Cyg
51232,,* s Car
116584,,* lam And
76952,,* gam CrB
21393,Theemin,* ups02 Eri
80883,Marfik,* lam Oph
86414,,* iot Her
56211,Giausar,* lam Dra
9487,Alrescha,* alf Psc
45688,,*  38 Lyn
72370,,* alf Aps
68245,,* phi Cen
51069,,* mu. Hya
51624,,* rho Leo
17448,Atik,* omi Per
17440,,* bet Ret
88794,,* omi Her
61199,,* gam Mus
97433,Tyl,* eps Dra
51986,,* p Vel
89341,Polis,* mu. Sgr
43783,,* c Car
78072,,* gam Ser
19747,,* alf Hor
91117,,* alf Sct
27321,,* bet Pic
61281,,* kap Dra
90139,,* 109 Her
50191,,* q Vel
30277,,* del Col
79664,,* del TrA
81065,,* gam Aps
4436,,* mu. And
21594,Sceptrum,* l Eri
87808,,* tet Her
110395,Sadachbia,* gam Aqr
25859,,* eps Col
97804,,* eta Aql
68282,,* ups01 Cen
71957,,* mu. Vir
78104,,* rho Sco
74376,,* kap Lup
765,,* eps Phe
114421,,* iot Gru
8832,Mesarthim,* gam Ari
48455,Rasalas,* mu. Leo
98110,,* eta Cyg
60129,Zaniah,* eta Vir
45336,,* tet Hya
33152,,* omi01 CMa
13701,Azha,* eta Eri
47431,,* iot Hya
55425,,* pi. Cen
65936,,* d Cen
73807,,* pi. Lup
18907,,* nu. Tau
60823,,* sig Cen
41307,,*  30 Mon
76333,,* gam Lib
79992,,* tau Her
95168,,* rho01 Sgr
83207,,* eps Her
104987,Kitalpha,* alf Equ
88192,,*  67 Oph
54463,,* x Car
7083,,* del Phe
2072,,* kap Phe
37504,,* zet Vol
21444,,* nu. Eri
13531,,* tau Per
5348,,* zet Phe
103413,,* nu. Cyg
37677,,* l Pup
37447,,* alf Mon
42911,Asellus Australis,* del Cnc
9598,,*  50 Cas
31592,,* nu.02 CMa
95241,Arkab Prior,* bet01 Sgr
44248,,*  10 UMa
115438,,* b01 Aqr
45101,,* i Car
95347,Rukbat,* alf Sgr
28328,,* eta Col
19343,,* c Per
42515,,* bet Pyx
27673,,* nu. Aur
112440,,* lam Peg
98495,,* eps Pav
35228,,* del Vol
110997,,* del01 Gru
59449,,* rho Cen
20535,,*  43 Eri
77634,,* chi Lup
18614,Menkib,* ksi Per
106481,,* rho Cyg
29651,,* gam Mon
114996,,* gam Tuc
50954,,* I Car
9347,,* ups Cet
44382,,* alf Vol
55642,,* iot Leo
79374,Jabbah,* nu. Sco
22109,,* mu. Eri
78527,,* tet Dra
101076,,*  41 Cyg
35037,,* ome CMa
91792,,* zet Pav
34088,Mekbuda,* zet Gem
8068,,* phi Per
71865,,* b Cen
80000,,* gam02 Nor
93429,,* i Aql
43409,,* gam Pyx
59199,Alchiba,* alf Crv
93244,,* eps Aql
101421,,* eps Del
63003,,* mu.01 Cru
118268,,* ome Psc
88601,,*  70 Oph
23522,,* bet Cam
10670,,* gam Tri
43103,,* iot Cnc
70497,,* tet Boo
111497,,* eta Aqr
19587,Beid,* omi01 Eri
57380,,* nu. Vir
42884,,* d Vel
70090,,* psi Cen
14632,,* iot Per
55434,,* sig Leo
40702,,* alf Cha
67459,,* ups Boo
71536,,* rho Lup
112716,,* tau Aqr
72010,,* c01 Cen
83153,,* eps01 Ara
60009,,* zet Cru
36962,,* ups Gem
59929,,* eps Mus
55705,,* gam Crt
22957,,* omi02 Ori
69701,Syrma,* iot Vir
110991,,* del Cep
74824,,* bet Cir
33160,,* tet CMa
53740,Alkes,* alf Crt
46974,,* h Car
12387,,* del Cet
105502,,*   1 Peg
104139,,* tet Cap
11001,,* del Hyi
14146,,* tau03 Eri
92862,,*  13 Lyr
3693,,* zet And
77450,Gudja,* kap Ser
90568,,* zet Tel
12777,,* tet Per
94160,,* bet CrA
7513,Titawin,* ups And
38164,,* P Pup
48356,,* ups01 Hya
34045,Muliphein,* gam CMa
51839,,* gam Cha
12486,,* iot Eri
76440,,* eps TrA
113638,,* zet Gru
57439,,HD 102350
42312,,* e Vel
94114,,* alf CrA
102978,,* ome Cap
98032,,* iot Sgr
28614,,* mu. Ori
58948,,* omi Vir
19812,,* mu. Per
30883,,* nu. Gem
102485,,* psi Cap
25247,,* e Ori
77853,,* tet Lib
112405,,* bet Oct
116771,,* iot Psc
42313,,* del Hya
59072,,* eta Cru
109937,,*   1 Lac
16369,,* f Tau
107354,,* kap Peg
76127,,* tet CrB
78159,,* eps CrB
85112,,* rho Her
116805,,* kap And
34769,,* del Mon
85340,,* b Oph
28734,,*   1 Gem
36366,,* rho Gem
110003,Ancha,* tet Aqr
2599,,* kap Cas
17874,,* g Eri
81304,,* H Sco
69427,,* kap Vir
109857,,* eps Cep
69732,,* lam Boo
111954,,* eps PsA
92043,,* 110 Her
67457,,* g Cen
112447,,* ksi Peg
113246,,* del PsA
51233,,* bet LMi
81126,,* sig Her
38835,,* j Pup
20635,,* kap01 Tau
16228,,HD  21291
105858,,* gam Pav
101093,,* tet Cep
82080,,* eps UMi
17651,,* tau06 Eri
78918,,* tet Lup
105102,,* sig Cyg
80569,,* chi Oph
92175,,* bet Sct
92609,,* lam Pav
